"SORTS	62046390	IT	18	16.2"
"JACKET	62043290	BD	2	1.8"
"T-SHIRT	61061000	KH	3	2.7"
"T-SHIRT	61102010	CN	6	5.4"
"PANTS	62046233	CN	1	0.9"
"SWEATER	61102091	TR	1	0.9"
"SORTS	61046900	KH	2	1.8"
"T-SHIRT	61102099	MM	19	17.1"
"SWEATSHIRT	61102099	PK	18	16.2"
"JACKET	62021390	CN	14	12.6"
"JACKET	62033290	CN	2	1.8"
"JACKET	61013010	CN	3	2.7"
"SET	61113090	KH	217	195.3"
"PANTS	62034319	CN	1	0.9"
"SWEATSHIRT	61103010	CN	21	18.9"
"PANTS	61034900	CN	2	1.8"
"SCARF	61171000	BD	19	17.1"
"JACKET	62043390	IT	1	0.9"
"PANTS	62034235	PT	6	5.4"
"PANTS	62046318	BD	3	2.7"
"PANTS	62034235	IT	1	0.9"
"BEACHWEAR	62034390	BD	1	0.9"
"UNDERWEAR	48201050	CN	1	0.9"
"VEST	62023010	IT	4	3.6"
"JACKET	61043300	KH	1	0.9"
"JACKET	61043300	VN	2	1.8"
"UNDERWEAR	62121090	MM	2	1.8"
"JACKET	62023010	CN	2	1.8"
"SORTS	62034290	IN	1	0.9"
"JACKET	61033200	CN	3	2.7"
"JACKET	61033200	BD	7	6.3"
"JACKET	62043390	IN	6	5.4"
"T-SHIRT	61043200	BD	1	0.9"
"JACKET	62023010	BD	1	0.9"
"T-SHIRT	61091000	IT	1	0.9"
"JACKET	62033290	BD	2	1.8"
"T-SHIRT	61103099	HK	1	0.9"
"T-SHIRT	61099020	HK	14	12.6"
"PANTS	62046918	IN	5	4.5"
"JACKET	62021390	MM	2	1.8"
"SKIRT	61045900	IN	9	8.1"
"SOCKS	61119019	IT	1	0.9"
"SORTS	62046290	MM	1	0.9"
"CAP	62171000	IN	1	0.9"
"SOCKS	61153011	IT	1	0.9"
"UNDERWEAR	61082200	TN	1	0.9"
"WALLET	63014090	CN	1	0.9"
"SCARF	62143000	IT	1	0.9"
"DRESS	62044300	TR	1	0.9"
"DRESS	61044300	VN	1	0.9"
"SKIRT	62045990	CN	1	0.9"
"PANTS	62034200	CN	2	1.8"
"SWEATER	61103000	BD	1	0.9"
"SHOES	64039116	ES	1	0.9"
"CAP	65050030	IN	5	4.5"
"SHOES	64052091	IN	6	5.4"
"SWEATER	61103010	BD	3	2.7"
"T-SHIRT	61143000	KH	1	0.9"
"SHIRT	62069010	MM	1	0.9"
"ACCESSORIES	61178080	RO	8	7.2"
"SET	61042200	CN	1	0.9"
"SORTS	62111200	CN	10	9"
"SOCKS	61113090	RO	33	29.7"
"SOCKS	61159500	IN	50	45"
"SET	62042280	IN	10	9"
"SHIRT	62063000	TR	1	0.9"
"BAG	46021990	CN	2	1.8"
"T-SHIRT	61062000	VN	8	7.2"
"CAP	65040000	CN	6	5.4"
"BEACHWEAR	61124100	TN	3	2.7"
"BAG	42022900	CN	3	2.7"
"SWEATSHIRT	61043200	CN	1	0.9"
"JACKET	61043200	KH	2	1.8"
"T-SHIRT	61061000	TR	4	3.6"
"SKIRT	61045900	KH	5	4.5"
"SWEATSHIRT	61043200	IN	7	6.3"
"SWEATER	61044300	RO	1	0.9"
"DRESS	61044400	IN	10	9"
"SHIRT	62069010	CN	3	2.7"
"SKIRT	61045900	TR	3	2.7"
"SKIRT	62046918	KH	2	1.8"
"T-SHIRT	61099000	IT	2	1.8"
"T-SHIRT	61061000	VN	2	1.8"
"SHIRT	62069000	CN	1	0.9"
"T-SHIRT	61142000	TR	18	16.2"
"JACKET	62029200	BD	10	9"
"DRESS	62044400	VN	2	1.8"
"SKIRT	61045200	TR	6	5.4"
"SORTS	62046950	IN	14	12.6"
"DRESS	62114390	KH	2	1.8"
"SKIRT	61045300	TR	6	5.4"
"DRESS	62044400	MM	2	1.8"
"SKIRT	62045910	IN	5	4.5"
"PANTS	62046259	TR	3	2.7"
"PANTS	61046200	VN	1	0.9"
"PANTS	62046239	MM	2	1.8"
"PANTS	62046918	MM	2	1.8"
"SKIRT	62045910	CN	3	2.7"
"SORTS	61046900	TR	1	0.9"
"SORTS	62046390	MM	1	0.9"
"SORTS	62046290	PK	9	8.1"
"DRESS	61044300	TR	8	7.2"
"PANTS	62046300	CN	2	1.8"
"PANTS	62046390	TR	4	3.6"
"SKIRT	62045200	CN	22	19.8"
"SWEATER	61101130	IT	9	8.1"
"SHIRT	62113290	BD	3	2.7"
"SOCKS	61112090	IT	63	56.7"
"SET	61119090	BD	32	28.8"
"SHOES	64029939	IN	9	8.1"
"SCARF	61171000	IN	12	10.8"
"JACKET	62019200	BD	8	7.2"
"PANTS	61034300	PK	8	7.2"
"JACKET	43040000	MM	2	1.8"
"SWEATER	61102099	KH	11	9.9"
"BATHROBE	61079900	CN	2	1.8"
"PANTS	62046259	PK	13	11.7"
"BATHROBE	62089100	TR	19	17.1"
"SWEATER	61113090	MM	1	0.9"
"SKIRT	61045200	CN	6	5.4"
"SORTS	62046290	HK	3	2.7"
"SHOES	64041900	CN	1	0.9"
"BATHROBE	62089200	CN	2	1.8"
"SWEATER	61102099	IT	7	6.3"
"JACKET	62023010	VN	1	0.9"
"JACKET	62029200	CN	3	2.7"
"PANTS	62046318	CN	58	52.2"
"BAG	42029291	IN	19	17.1"
"BAG	46029000	CN	13	11.7"
"T-SHIRT	61051000	TR	5	4.5"
"SHIRT	62052000	TR	28	25.2"
"SHIRT	62064000	BD	38	34.2"
"SHIRT	62114390	BD	6	5.4"
"DRESS	61044400	BD	14	12.6"
"SORTS	61034300	BD	48	43.2"
"T-SHIRT	61051000	CN	1	0.9"
"PANTS	62034259	BD	5	4.5"
"ACCESSORIES	61112010	CN	1	0.9"
"SET	63079010	CN	10	9"
"ACCESSORIES	63026000	IN	17	15.3"
"CAP	64052099	IN	4	3.6"
"SHIRT	62099090	IN	4	3.6"
"SKIRT	62093000	IN	30	27"
"PANTS	61034900	BD	3	2.7"
"BATHROBE	62089100	CN	1	0.9"
"JACKET	62029300	BD	15	13.5"
"ACCESSORIES	61178080	IN	8	7.2"
"SET	61178010	CN	22	19.8"
"SET	96151100	CN	1	0.9"
"T-SHIRT	61143000	MM	6	5.4"
"LEGGINGS	61046300	VN	1	0.9"
"SET	61042300	IN	9	8.1"
"SET	61032300	IN	1	0.9"
"JACKET	62033300	CN	1	0.9"
"SORTS	62111100	BD	15	13.5"
"BATHROBE	61089200	CN	1	0.9"
"PANTS	61130090	CN	3	2.7"
"JACKET	62019200	MM	1	0.9"
"JACKET	62011390	CN	2	1.8"
"JACKET	62011310	CN	4	3.6"
"JACKET	62011210	CN	1	0.9"
"PANTS	62046318	MM	5	4.5"
"PANTS	62034233	BD	4	3.6"
"PANTS	62093000	BD	7	6.3"
"JACKET	62092000	MM	2	1.8"
"JACKET	62105000	MM	20	18"
"DRESS	61044300	IN	29	26.1"
"BEACHWEAR	61123190	CN	79	71.1"
"JACKET	62013010	BD	4	3.6"
"JACKET	62013010	PK	4	3.6"
"T-SHIRT	61099000	KH	3	2.7"
"SHOES	64059090	HK	1	0.9"
"SHOES	64052099	HK	1	0.9"
"JACKET	61043300	CN	3	2.7"
"SOCKS	61113090	IT	41	36.9"
"DRESS	61044300	BD	28	25.2"
"DRESS	62114290	BD	16	14.4"
"SHIRT	62114290	CN	1	0.9"
"T-SHIRT	61069050	CN	5	4.5"
"T-SHIRT	61062000	TR	4	3.6"
"SHOES	64039996	ES	1	0.9"
"SHOES	64029931	CN	17	15.3"
"T-SHIRT	62064000	TR	13	11.7"
"T-SHIRT	61099000	IN	1	0.9"
"SHOES	64029900	CN	4	3.6"
"SORTS	62099090	IT	1	0.9"
"PANTS	62034200	TR	3	2.7"
"SORTS	62034200	KH	4	3.6"
"SORTS	62046200	IT	1	0.9"
"T-SHIRT	62114200	IN	3	2.7"
"T-SHIRT	61103000	CN	5	4.5"
"T-SHIRT	61099000	TR	8	7.2"
"T-SHIRT	61099000	CN	16	14.4"
"JACKET	62029300	CN	9	8.1"
"T-SHIRT	61091000	KH	28	25.2"
"SCARF	62144000	CN	37	33.3"
"SCARF	62149000	CN	16	14.4"
"SORTS	62046900	CN	16	14.4"
"CAP	65050000	CN	18	16.2"
"T-SHIRT	61099000	TN	3	2.7"
"SKIRT	62092000	CN	2	1.8"
"SORTS	62046200	CN	32	28.8"
"T-SHIRT	61112000	IN	22	19.8"
"T-SHIRT	61112000	CN	1	0.9"
"SKIRT	62045300	CN	37	33.3"
"SORTS	62046290	IN	52	46.8"
"SKIRT	62045300	IT	9	8.1"
"UNDERWEAR	61082200	MM	2	1.8"
"DRESS	61143000	BD	17	15.3"
"DRESS	62044200	BD	8	7.2"
"DRESS	62044200	IN	101	90.9"
"DRESS	61044200	CN	23	20.7"
"DRESS	62044300	VN	16	14.4"
"T-SHIRT	61062000	KH	40	36"
"BAG	46021990	IN	1	0.9"
"BAG	42022290	IN	6	5.4"
"WALLET	42023290	CN	4	3.6"
"SORTS	61034200	TR	11	9.9"
"SORTS	62046390	CN	43	38.7"
"SORTS	62046390	VN	22	19.8"
"SORTS	62046950	CN	5	4.5"
"SORTS	62046950	BD	2	1.8"
"SKIRT	62045910	VN	3	2.7"
"NIGHTWEAR	61072200	CN	54	48.6"
"NIGHTWEAR	61083100	CN	1	0.9"
"PANTS	62034231	CN	49	44.1"
"DRESS	61102010	MM	9	8.1"
"JACKET	62011310	MM	7	6.3"
"JACKET	61013090	CN	2	1.8"
"SHOES	64059090	CN	47	42.3"
"SWEATER	61103099	TR	14	12.6"
"PANTS	62046231	CN	12	10.8"
"SHIRT	62052000	KH	2	1.8"
"DRESS	62114390	IN	36	32.4"
"SHOES	64041100	CN	126	113.4"
"PANTS	61046200	TR	28	25.2"
"T-SHIRT	61091000	VN	15	13.5"
"PANTS	62046259	BD	58	52.2"
"PANTS	62034200	BD	38	34.2"
"CAP	65069990	CN	8	7.2"
"T-SHIRT	61052010	BD	5	4.5"
"COAT	61023010	VN	1	0.9"
"T-SHIRT	61062000	IT	5	4.5"
"BEACHWEAR	61124190	VN	1	0.9"
"BEACHWEAR	61124100	CN	77	69.3"
"SKIRT	62045300	IN	104	93.6"
"BEACHWEAR	61124100	VN	20	18"
"JACKET	61023090	CN	14	12.6"
"SHIRT	62063000	BD	88	79.2"
"JACKET	61102000	BD	3	2.7"
"JACKET	62043919	KH	1	0.9"
"T-SHIRT	61091000	CN	194	174.6"
"SET	61042300	BD	5	4.5"
"JACKET	62043390	CN	29	26.1"
"SET	62032280	BD	4	3.6"
"SET	96151900	CN	10	9"
"JACKET	62019300	MM	27	24.3"
"T-SHIRT	61103010	IN	1	0.9"
"SET	61032200	IN	43	38.7"
"JACKET	62103000	CN	7	6.3"
"ACCESSORIES	96159000	CN	164	147.6"
"PANTS	62034319	BD	21	18.9"
"T-SHIRT	61099020	VN	32	28.8"
"T-SHIRT	61062000	BD	11	9.9"
"T-SHIRT	61099090	CN	8	7.2"
"SHIRT	62114390	VN	17	15.3"
"DRESS	62114290	IN	5	4.5"
"SKIRT	61045300	VN	1	0.9"
"SKIRT	62045910	MM	8	7.2"
"SKIRT	61045900	CN	4	3.6"
"T-SHIRT	61099020	TR	68	61.2"
"BAG	42029219	CN	9	8.1"
"SWEATER	61103091	IT	14	12.6"
"SWEATER	61103091	TN	6	5.4"
"SWEATER	61101130	TN	11	9.9"
"SWEATER	61101130	BD	10	9"
"SCARF	62149000	IN	146	131.4"
"LEGGINGS	61046900	BD	3	2.7"
"BATHROBE	62079910	CN	7	6.3"
"JACKET	62024090	CN	2	1.8"
"SHOES	64052091	CN	15	13.5"
"T-SHIRT	61091000	TR	204	183.6"
"SORTS	62046950	VN	2	1.8"
"DRESS	61044200	TR	10	9"
"SUIT	62031200	CN	1	0.9"
"T-SHIRT	61099020	MM	2	1.8"
"JACKET	62093000	CN	26	23.4"
"PANTS	61046300	BD	104	93.6"
"PANTS	62046239	CN	58	52.2"
"PANTS	62046990	MM	3	2.7"
"PANTS	62046318	IN	72	64.8"
"SHOES	64029998	CN	148	133.2"
"SORTS	62034390	CN	248	223.2"
"BELT	42033000	IT	11	9.9"
"PANTS	62046239	IN	31	27.9"
"PANTS	61046200	MM	9	8.1"
"SWEATER	61103099	IN	55	49.5"
"NIGHTWEAR	61083200	BD	82	73.8"
"PANTS	61046900	IN	42	37.8"
"SWEATSHIRT	61103099	MM	3	2.7"
"PANTS	61034300	CN	44	39.6"
"SHIRT	62063000	KH	41	36.9"
"PANTS	62046231	EG	28	25.2"
"SORTS	62046390	IN	39	35.1"
"RAINCOAT	61023090	IN	2	1.8"
"UNDERWEAR	61082200	CN	66	59.4"
"UNDERWEAR	62121090	VN	1	0.9"
"UNDERWEAR	61082200	VN	1	0.9"
"UNDERWEAR	61082200	TR	17	15.3"
"UNDERWEAR	61082200	BD	2	1.8"
"UNDERWEAR	62121090	TR	21	18.9"
"DRESS	62044300	IN	111	99.9"
"JACKET	62021310	CN	47	42.3"
"PANTS	61046900	MM	14	12.6"
"PANTS	61046300	KH	37	33.3"
"PANTS	61130090	MM	9	8.1"
"SKIRT	62045200	BD	53	47.7"
"VEST	62104000	MM	22	19.8"
"JACKET	62011210	MM	1	0.9"
"T-SHIRT	61061000	CN	101	90.9"
"PANTS	61046200	KH	44	39.6"
"SKIRT	61045200	IN	34	30.6"
"SKIRT	61045200	BD	90	81"
"CAP	65069100	CN	1	0.9"
"BAG	63079098	CN	1	0.9"
"T-SHIRT	61102010	IN	22	19.8"
"JACKET	61022090	CN	1	0.9"
"DRESS	62044400	IN	23	20.7"
"KIDS_ACCESSORIES	63013010	AL	2	1.8"
"CAP	65050090	RO	3	2.7"
"ACCESSORIES	66019920	CN	4	3.6"
"BELT	62171000	CN	93	83.7"
"SKIRT	61045300	IN	15	13.5"
"ACCESSORIES	63013010	BD	1	0.9"
"ACCESSORIES	63013010	IN	15	13.5"
"ACCESSORIES	63014010	BD	2	1.8"
"ACCESSORIES	63013010	RO	3	2.7"
"ACCESSORIES	63013010	CN	15	13.5"
"BAG	42029291	CN	32	28.8"
"JACKET	62019300	CN	76	68.4"
"BAG	42029298	CN	10	9"
"CAP	65050030	CN	332	298.8"
"SCARF	62144000	IN	278	250.2"
"SCARF	62143000	IN	92	82.8"
"WALLET	42023210	CN	9	8.1"
"DRESS	61044400	CN	15	13.5"
"DRESS	62044300	IT	21	18.9"
"PANTS	62046318	IT	9	8.1"
"PANTS	62046318	TR	1	0.9"
"SKIRT	62045910	IT	15	13.5"
"SKIRT	62045300	MM	6	5.4"
"DRESS	62044200	CN	13	11.7"
"T-SHIRT	61143000	TR	8	7.2"
"DRESS	62044400	IT	17	15.3"
"DRESS	62044400	BD	5	4.5"
"SHOES	64021900	CN	33	29.7"
"SHOES	64029996	CN	43	38.7"
"JACKET	62023010	MM	2	1.8"
"DRESS	61042200	IN	60	54"
"CARDIGAN	61103099	KH	169	152.1"
"PANTS	61046300	TR	10	9"
"T-SHIRT	61103099	IT	6	5.4"
"T-SHIRT	61099020	IT	116	104.4"
"T-SHIRT	62063000	CN	65	58.5"
"DRESS	62114390	CN	39	35.1"
"T-SHIRT	61091000	PT	24	21.6"
"JACKET	62102000	CN	1	0.9"
"SHOES	64041990	CN	763	686.7"
"SCARF	61171000	MM	10	9"
"PANTS	61046300	MM	43	38.7"
"PANTS	62046990	CN	2	1.8"
"PANTS	62046318	KH	19	17.1"
"PANTS	62046918	VN	23	20.7"
"PANTS	62046318	VN	28	25.2"
"PANTS	62105000	BD	2	1.8"
"PANTS	62046918	CN	27	24.3"
"BELT	39262000	CN	279	251.1"
"BELT	42033000	CN	25	22.5"
"SKIRT	61045300	CN	34	30.6"
"PANTS	62046918	IT	2	1.8"
"SKIRT	61045300	KH	10	9"
"PANTS	62046918	TR	1	0.9"
"PANTS	62046239	IT	18	16.2"
"DRESS	62044300	CN	90	81"
"DRESS	61044200	KH	1	0.9"
"SHIRT	62064000	IT	40	36"
"T-SHIRT	61099020	CN	310	279"
"T-SHIRT	62064000	KH	25	22.5"
"SHIRT	62064000	MM	41	36.9"
"T-SHIRT	61103010	KH	22	19.8"
"SHIRT	62064000	CN	234	210.6"
"PANTS	62046231	IN	11	9.9"
"PANTS	62034231	EG	2	1.8"
"PANTS	62046918	BD	73	65.7"
"SWEATSHIRT	61112090	MM	20	18"
"SHIRT	62063000	IN	194	174.6"
"NIGHTWEAR	61083200	CN	70	63"
"SWEATER	61102091	KH	16	14.4"
"JACKET	62102000	MM	1	0.9"
"NIGHTWEAR	61072200	BD	45	40.5"
"NIGHTWEAR	61072100	BD	156	140.4"
"SOCKS	61159500	IT	37	33.3"
"TIE	61178080	CN	104	93.6"
"WALLET	62129000	CN	62	55.8"
"SHOES	64029939	CN	258	232.2"
"SORTS	62046290	BD	339	305.1"
"T-SHIRT	61051000	IN	25	22.5"
"DRESS	61044300	KH	10	9"
"DRESS	61044200	IN	110	99"
"CARDIGAN	61102099	CN	217	195.3"
"SWEATER	61103091	CN	135	121.5"
"LEGGINGS	61113090	BD	259	233.1"
"SHOES	64022000	CN	190	171"
"UNDERWEAR	61082100	BD	261	234.9"
"SORTS	61034200	PK	31	27.9"
"PANTS	62034990	BD	14	12.6"
"PANTS	62034233	PK	3	2.7"
"SET	61102091	IN	29	26.1"
"PANTS	61034200	IN	9	8.1"
"TIE	61178000	CN	36	32.4"
"TIE	62151000	CN	22	19.8"
"ACCESSORIES	62104000	CN	8	7.2"
"ACCESSORIES	62160000	CN	17	15.3"
"ACCESSORIES	61169300	CN	301	270.9"
"ACCESSORIES	42032990	CN	10	9"
"TIE	62159000	CN	9	8.1"
"TIE	62152000	CN	280	252"
"JACKET	62013010	CN	5	4.5"
"JACKET	61033300	CN	12	10.8"
"SHIRT	62053000	MM	22	19.8"
"SHIRT	62053000	BD	240	216"
"SHIRT	62059010	BD	4	3.6"
"T-SHIRT	61051000	BD	430	387"
"NIGHTWEAR	61083100	IN	173	155.7"
"NIGHTWEAR	61072100	IN	209	188.1"
"SOCKS	61046200	CN	113	101.7"
"MAJICA	61142000	CN	65	58.5"
"SOCKS	61152100	IT	105	94.5"
"UNDERWEAR	61071100	CN	56	50.4"
"SHOES	64041910	CN	18	16.2"
"PANTS	62034235	PK	171	153.9"
"JACKET	62014010	CN	19	17.1"
"PANTS	62034290	PK	59	53.1"
"CARDIGAN	61103091	PK	6	5.4"
"T-SHIRT	61102091	CN	150	135"
"SHIRT	62052000	BD	375	337.5"
"T-SHIRT	61091000	PK	7	6.3"
"SWEATSHIRT	61102091	PK	46	41.4"
"JACKET	62014010	MM	17	15.3"
"SHIRT	62052000	MM	22	19.8"
"SWEATSHIRT	61103091	MM	11	9.9"
"SHIRT	62052000	IN	64	57.6"
"SWEATER	61103091	BD	759	683.1"
"T-SHIRT	61102010	BD	199	179.1"
"SWEATSHIRT	61102091	BD	440	396"
"T-SHIRT	61103091	KH	11	9.9"
"PANTS	61119090	CN	18	16.2"
"T-SHIRT	61061000	IN	274	246.6"
"SHIRT	62092000	IN	48	43.2"
"KIDS_ACCESSORIES	63013010	PK	10	9"
"BATHROBE	63026000	CN	20	18"
"SHOES	64052099	CN	110	99"
"CAP	65050090	IN	51	45.9"
"SET	63029100	CN	28	25.2"
"CAP	65050090	CN	1982	1783.8"
"CAP	65050090	BD	1	0.9"
"BAG	42029211	CN	26	23.4"
"NIGHTWEAR	61046300	IN	124	111.6"
"NIGHTWEAR	62082200	VN	5	4.5"
"NIGHTWEAR	61099020	BD	237	213.3"
"NIGHTWEAR	61062000	IN	55	49.5"
"NIGHTWEAR	61046200	BD	2877	2589.3"
"NIGHTWEAR	61083100	BD	54	48.6"
"SHOES	61159610	CN	7	6.3"
"SOCKS	61152200	IT	35	31.5"
"SHOES	64029991	CN	501	450.9"
"SHOES	64019210	CN	54	48.6"
"PANTS	62046231	PK	62	55.8"
"PANTS	62046239	PK	40	36"
"SKIRT	62045200	IN	35	31.5"
"SHIRT	62064000	IN	181	162.9"
"BEACHWEAR	61124190	CN	453	407.7"
"BLAZER	62043390	TR	1	0.9"
"T-SHIRT	61099020	KH	65	58.5"
"T-SHIRT	61061000	BD	535	481.5"
"PANTS	62046239	BD	409	368.1"
"JACKET	62093000	MM	33	29.7"
"SWEATER	61113090	CN	312	280.8"
"SOCKS	61159900	TR	7	6.3"
"SOCKS	61143000	IN	19	17.1"
"SOCKS	61152900	CN	6	5.4"
"SOCKS	61152900	IT	16	14.4"
"SOCKS	61159500	CN	5135	4621.5"
"SHOES	64029190	CN	311	279.9"
"SET	61032200	BD	145	130.5"
"T-SHIRT	61113090	IN	54	48.6"
"JACKET	62105000	CN	41	36.9"
"PANTS	62034235	BD	590	531"
"SHIRT	61062000	CN	96	86.4"
"PANTS	62046231	BD	540	486"
"JACKET	62029300	MM	19	17.1"
"DRESS	61044200	BD	170	153"
"SWEATER	61103099	BD	728	655.2"
"PANTS	61046900	CN	9	8.1"
"PANTS	62034231	TN	2	1.8"
"PANTS	62034231	PK	376	338.4"
"PANTS	62034231	BD	1208	1087.2"
"T-SHIRT	61099020	IN	131	117.9"
"ACCESSORIES	63014010	CN	15	13.5"
"T-SHIRT	61112090	BD	2073	1865.7"
"SET	61112090	IN	716	644.4"
"BABY_SUIT	61112090	CN	1049	944.1"
"MAJICA	62121010	CN	7	6.3"
"OVERAL	61143000	CN	71	63.9"
"NIGHTWEAR	61142000	BD	260	234"
"UNDERWEAR	62121090	BD	54	48.6"
"UNDERWEAR	61071100	BD	27	24.3"
"UNDERWEAR	61082100	CN	242	217.8"
"UNDERWEAR	62121090	CN	111	99.9"
"JACKET	43040000	CN	26	23.4"
"JACKET	62103000	MM	2	1.8"
"DRESS	61044300	CN	61	54.9"
"JACKET	62024010	CN	6	5.4"
"SORTS	61046200	IN	489	440.1"
"SWEATSHIRT	61102099	IN	274	246.6"
"PANTS	61046300	CN	135	121.5"
"SWEATSHIRT	61103099	CN	708	637.2"
"BAG	42022290	CN	43	38.7"
"RIANCOAT	62024010	MM	21	18.9"
"BAG	42022210	CN	154	138.6"
"SET	61042200	BD	128	115.2"
"SWEATSHIRT	61102099	BD	660	594"
"T-SHIRT	61091000	IN	1302	1171.8"
"SCARF	62143000	CN	639	575.1"
"SCARF	61171000	CN	356	320.4"
"SORTS	61034200	BD	471	423.9"
"SET	62092000	BD	199	179.1"
"T-SHIRT	61142000	IN	86	77.4"
"SHIRT	62064000	VN	82	73.8"
"DRESS	62044400	CN	20	18"
"SORTS	62034290	BD	486	437.4"
"T-SHIRT	61091000	BD	4299	3869.1"
"SORTS	62046290	CN	22	19.8"
"SOCKS	61159500	TR	711	639.9"
"SOCKS	61159699	TR	144	129.6"
"SOCKS	61159699	IT	100	90"
"SOCKS	61153019	IT	46	41.4"
"SOCKS	61159699	CN	481	432.9"
""
